date,code,action,shares,price,fee
2025-01-02,002386.SZ,BUY,100,11.0821,0.221642
2025-01-02,002420.SZ,BUY,300,5.3978,0.32386800000000004
2025-01-02,002423.SZ,BUY,100,14.0581,0.281162
2025-01-02,002425.SZ,BUY,200,9.5573,0.382292
2025-01-02,002426.SZ,BUY,100,13.9565,0.27913000000000004
2025-01-02,002427.SZ,BUY,200,6.9878,0.279512
2025-01-02,002442.SZ,BUY,100,16.3985,0.32797
2025-01-02,002445.SZ,BUY,100,17.6683,0.353366
2025-01-02,002451.SZ,BUY,100,18.8921,0.377842
2025-01-02,002454.SZ,BUY,100,19.1118,0.38223599999999996
2025-01-02,002470.SZ,BUY,200,8.3677,0.334708
2025-01-02,002471.SZ,BUY,100,18.8461,0.376922
2025-01-02,002478.SZ,BUY,100,14.5572,0.291144
2025-01-02,002482.SZ,BUY,100,18.2257,0.364514
2025-01-02,002483.SZ,BUY,100,16.7272,0.334544
2025-01-02,002485.SZ,BUY,200,9.1096,0.36438400000000004
2025-01-02,002486.SZ,BUY,100,10.4506,0.209012
2025-01-02,002490.SZ,BUY,300,5.7032,0.342192
2025-01-02,002491.SZ,BUY,100,19.4611,0.389222
2025-01-02,002492.SZ,BUY,100,16.0928,0.32185600000000003
2025-01-02,002500.SZ,BUY,200,7.517,0.30068000000000006
2025-01-02,002501.SZ,BUY,100,12.435,0.2487
2025-01-02,002506.SZ,BUY,100,13.0995,0.26199
2025-01-02,002513.SZ,BUY,100,13.2668,0.265336
2025-01-02,002524.SZ,BUY,100,16.4638,0.329276
2025-01-02,002529.SZ,BUY,100,10.7299,0.214598
2025-01-02,002535.SZ,BUY,100,13.2704,0.26540800000000003
2025-01-02,002548.SZ,BUY,100,19.2437,0.38487400000000005
2025-01-02,002554.SZ,BUY,100,17.8065,0.35613000000000006
2025-01-02,002561.SZ,BUY,100,13.6734,0.27346800000000004
2025-01-02,002564.SZ,BUY,100,14.0194,0.28038799999999997
2025-01-02,002569.SZ,BUY,100,15.8922,0.317844
2025-01-02,002570.SZ,BUY,100,11.0894,0.221788
2025-01-02,002571.SZ,BUY,100,16.5315,0.33063000000000003
2025-01-02,002574.SZ,BUY,100,11.1963,0.22392600000000004
2025-01-02,002578.SZ,BUY,100,15.6144,0.312288
2025-01-02,002584.SZ,BUY,100,19.1555,0.38311
2025-01-02,002586.SZ,BUY,100,15.5517,0.31103400000000003
2025-01-02,002591.SZ,BUY,100,16.9777,0.339554
2025-01-02,002592.SZ,BUY,100,12.2172,0.244344
2025-01-02,002593.SZ,BUY,100,17.5339,0.350678
2025-01-02,002596.SZ,BUY,100,16.8402,0.336804
2025-01-02,002613.SZ,BUY,100,14.7623,0.295246
2025-01-02,002620.SZ,BUY,100,17.002,0.34003999999999995
2025-01-02,002622.SZ,BUY,100,15.9253,0.318506
2025-01-02,002623.SZ,BUY,100,15.9486,0.31897200000000003
2025-01-02,002627.SZ,BUY,100,17.0146,0.34029200000000004
