TRADE_DT,Value
2017-01-20,8031690.738731304
2017-01-23,8026050.425512237
2017-01-24,8032165.012917116
2017-01-25,8084198.349621981
2017-01-26,8064014.769236226
2017-02-03,8144431.736077357
2017-02-06,8150189.428916792
2017-02-07,8186892.774905452
2017-02-08,8241188.025388212
2017-02-09,8241831.8856637655
2017-02-10,8304305.445403606
2017-02-13,8304283.191709788
2017-02-14,8295545.040696252
2017-02-15,8343531.825762132
2017-02-16,8246843.902524892
2017-02-17,8348617.909523918
2017-02-20,8392624.213378726
2017-02-21,8407752.697560687
2017-02-22,8378917.965687087
2017-02-23,8393047.399172572
2017-02-24,8311734.05831831
2017-02-27,8371800.433949434
2017-02-28,8181819.75001366
2017-03-01,8126667.942565329
2017-03-02,8116959.999411829
2017-03-03,8186235.224817615
2017-03-06,8162447.894037434
2017-03-07,8140066.913107848
2017-03-08,8096889.423864693
2017-03-09,8101868.501148285
2017-03-10,8162067.900654992
2017-03-13,8151877.423281874
2017-03-14,7909109.533457311
2017-03-15,7990008.91542361
2017-03-16,7917356.842991974
2017-03-17,7953985.848871743
2017-03-20,8003554.728160616
2017-03-21,7812758.900137329
2017-03-22,7825552.042104854
2017-03-23,7834438.899463856
2017-03-24,7786553.767915743
2017-03-27,7765345.243977736
2017-03-28,7776671.917258098
2017-03-29,7631644.019157342
2017-03-30,7671565.146065834
2017-03-31,7817960.513004732
2017-04-05,7852513.392398164
2017-04-06,7680993.463853562
2017-04-07,7626557.646907978
2017-04-10,7823961.162999686
2017-04-11,8014058.379968454
2017-04-12,7941938.435431465
2017-04-13,7698851.608343083
2017-04-14,7621379.8868957395
2017-04-17,7570640.348133822
2017-04-18,7500118.6001640605
2017-04-19,7502909.459860257
2017-04-20,7430511.398196359
2017-04-21,7181659.869775125
2017-04-24,7241526.9681994775
2017-04-25,7241094.2881591655
2017-04-26,7245195.052039969
2017-04-27,7097482.602654253
2017-04-28,7106405.682281414
2017-05-02,7086580.663575488
2017-05-03,7039016.173540562
2017-05-04,6940657.059944898
2017-05-05,6382948.753424529
2017-05-08,6426511.417632247
2017-05-09,6336734.151340797
2017-05-10,6322424.11940901
2017-05-11,6333643.22693237
2017-05-12,6322893.797721851
2017-05-15,6436005.889886575
2017-05-16,6468337.826368329
2017-05-17,6433767.280880496
2017-05-18,6467956.953727673
2017-05-19,6367972.218126253
2017-05-22,6229028.843665968
2017-05-23,6248747.37290226
2017-05-24,6350849.703740979
2017-05-25,6328312.352542325
2017-05-26,6348557.419690614
2017-05-31,6258597.158473159
2017-06-01,6351001.388442147
2017-06-02,6372142.35795973
2017-06-05,6412914.839396211
2017-06-06,6379999.783798657
2017-06-07,6407650.919412956
2017-06-08,6469806.534111226
2017-06-09,6399237.564096803
2017-06-12,6488635.88234166
2017-06-13,6450086.7902053315
2017-06-14,6475119.185636919
2017-06-15,6475797.240796079
2017-06-16,6536831.178408335
2017-06-19,6539940.368073645
2017-06-20,6364466.247626591
2017-06-21,6299865.07671965
2017-06-22,6316999.305396739
2017-06-23,6468300.263888381
2017-06-26,6464086.813489648
2017-06-27,6439039.877765847
2017-06-28,6444688.153779948
2017-06-29,6444009.80769367
2017-06-30,6489416.012132042
2017-07-03,6451985.718712262
2017-07-04,6384589.311351186
2017-07-05,6373052.213771455
2017-07-06,6384286.6848830655
2017-07-07,6392471.364226021
2017-07-10,6370257.288532375
2017-07-11,6369701.931166628
2017-07-12,6368099.435114753
2017-07-13,6344079.161942064
2017-07-14,6076719.845208757
2017-07-17,6151816.045784284
2017-07-18,6279465.7552808635
2017-07-19,6382589.520786016
2017-07-20,6420650.6285297815
2017-07-21,6445525.027777912
2017-07-24,6442000.01197857
2017-07-25,6276822.2197558815
2017-07-26,6270286.9494341
2017-07-27,6302922.991008035
2017-07-28,6389179.998608132
2017-07-31,6372551.836104042
2017-08-01,6322409.182172739
2017-08-02,6292361.0291957045
2017-08-03,6248802.335110807
2017-08-04,6273763.029130657
2017-08-07,6282175.385820085
2017-08-08,6285129.09875346
2017-08-09,6229298.165458178
2017-08-10,6074038.227934055
2017-08-11,6170296.522696859
2017-08-14,6187268.391606525
2017-08-15,6176517.006414242
2017-08-16,6231134.116751253
2017-08-17,6279141.68074055
2017-08-18,6313579.56562096
2017-08-21,6272698.4130162
2017-08-22,6087362.761019823
2017-08-23,6029620.098464998
2017-08-24,6113393.961547078
2017-08-25,6179778.251601658
2017-08-28,6193179.450834513
2017-08-29,6225747.045726495
2017-08-30,6185549.012013605
2017-08-31,6181481.902059779
2017-09-01,6235201.869842083
2017-09-04,6243158.473873287
2017-09-05,6231330.003949748
2017-09-06,6242160.613001791
2017-09-07,6304511.123555916
2017-09-08,6318370.08467936
2017-09-11,6273299.18262264
2017-09-12,6048437.895563201
2017-09-13,6074242.761676357
2017-09-14,6098164.434545548
2017-09-15,6088922.493765828
2017-09-18,6070327.840242503
2017-09-19,6089991.440374894
2017-09-20,6034766.781865376
2017-09-21,5981122.070628217
2017-09-22,5853865.296936367
2017-09-25,5856292.684074887
2017-09-26,5883582.282374438
2017-09-27,5847578.01331722
2017-09-28,5899732.2679418605
2017-09-29,5981127.403805601
2017-10-09,6016716.826035386
2017-10-10,5998491.248963235
2017-10-11,5970525.098737493
2017-10-12,6000361.819246399
2017-10-13,5897455.654112019
2017-10-16,5910096.019049251
2017-10-17,5894453.93186209
2017-10-18,5835388.776506034
2017-10-19,5891931.904028267
2017-10-20,5944555.252989144
2017-10-23,5927917.118080233
2017-10-24,5958119.20120818
2017-10-25,5991707.297914077
2017-10-26,5952998.886506893
2017-10-27,5880087.124224908
