TRADE_DT,Value
2017-01-20,9047437.927415334
2017-01-23,9009107.797549896
2017-01-24,8983298.87282719
2017-01-25,9025591.572894488
2017-01-26,9008684.883157408
2017-02-03,9156758.753532888
2017-02-06,9180642.229788516
2017-02-07,9293884.57043943
2017-02-08,9409082.909000646
2017-02-09,9333241.397110289
2017-02-10,9402919.524495935
2017-02-13,9388777.84087719
2017-02-14,9375455.234759165
2017-02-15,9447213.936686315
2017-02-16,9334914.158746343
2017-02-17,9316884.490329904
2017-02-20,9419527.888108358
2017-02-21,9239553.137651805
2017-02-22,9255980.990652539
2017-02-23,9371729.34888791
2017-02-24,9337986.418683717
2017-02-27,9368779.386808416
2017-02-28,9199851.347022798
2017-03-01,9104654.461102601
2017-03-02,9075258.819065431
2017-03-03,9185413.699012436
2017-03-06,9198560.738425689
2017-03-07,9223605.108532319
2017-03-08,9218365.959750189
2017-03-09,9223798.888460474
2017-03-10,9249756.507454203
2017-03-13,9213460.790927174
2017-03-14,9002237.609779615
2017-03-15,9099322.371584324
2017-03-16,9108301.660426948
2017-03-17,9111099.64102907
2017-03-20,9115615.639382305
2017-03-21,9052546.915988367
2017-03-22,9018360.101851854
2017-03-23,9013277.248199401
2017-03-24,8969288.06271567
2017-03-27,8981660.03412807
2017-03-28,8722999.397196043
2017-03-29,8412673.534471218
2017-03-30,8428459.999028005
2017-03-31,8625065.716126744
2017-04-05,8678146.85035952
2017-04-06,8421000.48566591
2017-04-07,8155701.46070562
2017-04-10,8250947.576846281
2017-04-11,8139115.211246415
2017-04-12,8157287.1684139455
2017-04-13,8061553.969330552
2017-04-14,7742631.946051564
2017-04-17,7575849.116465435
2017-04-18,7571364.537421745
2017-04-19,7495631.188002048
2017-04-20,7432283.852543019
2017-04-21,7049384.043732258
2017-04-24,7145619.954355479
2017-04-25,7199679.154246065
2017-04-26,7323297.202609569
2017-04-27,7170639.863614202
2017-04-28,7249906.457266519
2017-05-02,7274677.07592026
2017-05-03,7271703.7867071675
2017-05-04,7105411.172020494
2017-05-05,7025110.2616020795
