TRADE_DT,Value
2017-01-20,5552465.3094930835
2017-01-23,5599222.548835446
2017-01-24,5690813.740227069
2017-01-25,5676755.411030343
2017-01-26,5673920.766688627
2017-02-03,5722419.607971837
2017-02-06,5780754.547558587
2017-02-07,5847803.239191391
2017-02-08,5883430.241871311
2017-02-09,5903921.683035345
2017-02-10,5888120.001701918
2017-02-13,5912179.961110609
2017-02-14,5827550.987712819
2017-02-15,5875333.845820278
2017-02-16,5804036.911385544
2017-02-17,5802649.362457392
2017-02-20,5869014.624688102
2017-02-21,5886026.294234954
2017-02-22,5827095.589263954
2017-02-23,5836024.460628406
2017-02-24,5783755.8636786
2017-02-27,5777805.196180674
2017-02-28,5763104.362595595
2017-03-01,5705084.50124773
2017-03-02,5734944.394238101
2017-03-03,5796847.300190308
2017-03-06,5782710.752934424
2017-03-07,5432675.223659257
2017-03-08,5424142.542310425
2017-03-09,5473048.204986227
2017-03-10,5420291.922398788
2017-03-13,5461304.026318201
2017-03-14,5179267.565316242
2017-03-15,5243178.974937065
2017-03-16,5268662.296118689
2017-03-17,5226188.181445592
2017-03-20,5270011.29278008
2017-03-21,5259628.265127376
2017-03-22,5152003.55406858
2017-03-23,5126451.191836347
2017-03-24,5175244.774847553
2017-03-27,5200629.014091821
2017-03-28,5167301.270322858
2017-03-29,5009742.6829692
2017-03-30,5031300.311326027
2017-03-31,5110114.246673061
2017-04-05,5138474.701328109
2017-04-06,4913867.842635324
2017-04-07,4775113.398946421
2017-04-10,4747156.713628998
2017-04-11,4656266.324486729
2017-04-12,4588204.935614629
2017-04-13,4533275.523946656
2017-04-14,4368210.564724383
2017-04-17,4351781.6819023285
2017-04-18,4322466.691485634
2017-04-19,4314633.797121643
2017-04-20,4032146.6327728815
2017-04-21,3915991.4076667633
2017-04-24,3953389.4013930233
2017-04-25,3934820.8978430936
2017-04-26,3942991.4470686363
2017-04-27,3972828.0454936856
2017-04-28,4006647.47368371
2017-05-02,3993740.7820706815
2017-05-03,3972475.3600696763
2017-05-04,3889885.3066705735
2017-05-05,3596169.737532275
2017-05-08,3592211.444741377
2017-05-09,3499654.9066503625
2017-05-10,3514488.6285763425
2017-05-11,3511355.7593452977
2017-05-12,3491744.9782718564
2017-05-15,3593219.31838099
2017-05-16,3612189.6601592405
2017-05-17,3572810.764290584
2017-05-18,3544602.4081093958
2017-05-19,3544917.8043698347
2017-05-22,3447857.0603378476
2017-05-23,3447676.980849768
2017-05-24,3507557.340717432
2017-05-25,3473196.8412304823
2017-05-26,3234243.0370256393
2017-05-31,3166721.8102316572
2017-06-01,3165290.987172472
2017-06-02,3176794.905288029
2017-06-05,3177999.932436273
2017-06-06,3090481.9685049965
2017-06-07,3094113.025153738
2017-06-08,3077531.347278121
2017-06-09,3059580.115447199
2017-06-12,3097556.33840831
2017-06-13,3092851.601356274
2017-06-14,3136140.431449623
2017-06-15,3191498.992654388
2017-06-16,3201882.7577342885
2017-06-19,3206190.637253013
2017-06-20,3251900.132922382
2017-06-21,3181133.120299879
2017-06-22,3161322.7211830234
2017-06-23,3217734.993980612
2017-06-26,3218126.1871711113
