TRADE_DT,Value
2017-01-20,9181184.56285949
2017-01-23,9161587.023950482
2017-01-24,9116097.553409778
2017-01-25,9178057.912376
2017-01-26,9188326.747469999
2017-02-03,9329236.798326029
2017-02-06,9332703.076739065
2017-02-07,9389342.797442721
2017-02-08,9573734.083581464
2017-02-09,9521794.586492632
2017-02-10,9579663.653249912
2017-02-13,9536316.681697402
2017-02-14,9591806.889465924
2017-02-15,9662152.65528908
2017-02-16,9560019.747282961
2017-02-17,9549981.367237402
2017-02-20,9649917.080956003
2017-02-21,9625033.484175697
2017-02-22,9636014.2804206
2017-02-23,9715615.740236353
2017-02-24,9722743.52392383
2017-02-27,9727898.20104287
2017-02-28,9574449.620852988
2017-03-01,9492509.400847727
2017-03-02,9454946.787500545
2017-03-03,9547889.738154406
2017-03-06,9594808.168758841
2017-03-07,9590761.840110648
2017-03-08,9560907.04787417
2017-03-09,9555303.216874449
2017-03-10,9574528.638944192
2017-03-13,9565899.244042562
2017-03-14,9379975.003638068
2017-03-15,9500844.197796062
2017-03-16,9485429.2294046
2017-03-17,9485691.813471003
2017-03-20,9468765.78266259
2017-03-21,9450657.428326888
2017-03-22,9442390.282834556
2017-03-23,9427777.265087953
2017-03-24,9368658.885903751
2017-03-27,9398187.860620804
2017-03-28,9156154.85480393
2017-03-29,8831039.530414818
2017-03-30,8870872.141071698
2017-03-31,9112524.851504948
2017-04-05,9167148.448006349
2017-04-06,9103810.792478196
2017-04-07,8782017.779584289
2017-04-10,8837868.305719465
2017-04-11,8716811.053332483
2017-04-12,8759312.51578391
2017-04-13,8647268.466564171
2017-04-14,8309813.235845195
2017-04-17,8169467.781218564
2017-04-18,8157529.4046790255
2017-04-19,8082999.082004636
2017-04-20,7658839.765074897
2017-04-21,7239459.764118165
2017-04-24,7308955.017633999
2017-04-25,7338948.817444582
2017-04-26,7487678.251149482
2017-04-27,7324314.065206548
2017-04-28,7390201.74462826
2017-05-02,7416558.529172298
2017-05-03,7398484.4079514
2017-05-04,7233790.114191271
2017-05-05,7139440.162414403
2017-05-08,7221692.086125863
2017-05-09,7113572.23725907
2017-05-10,7072910.157655921
2017-05-11,7042081.182815036
2017-05-12,6963397.806308174
2017-05-15,7192440.876374835
2017-05-16,7267166.900178138
2017-05-17,7216317.917189422
2017-05-18,7205948.2518599015
2017-05-19,7054355.001811456
2017-05-22,6648920.998112673
2017-05-23,6697041.773298453
2017-05-24,6740248.104321042
2017-05-25,6775115.051863082
2017-05-26,6677703.794168406
2017-05-31,6307001.06721938
2017-06-01,6405826.746819386
2017-06-02,6512335.521257132
2017-06-05,6570858.3949223915
2017-06-06,6451960.131803209
2017-06-07,6502204.2714363625
2017-06-08,6537175.669255795
